epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3189,1.0564,3.2201,1.38013,0.00486,0.675,0.12881,0.05417,1.35796,3.53457,1.84923,0.000405093,0.000405093,0.000405093
2,29.3464,1.10485,2.63318,1.42837,0.52415,0.1,0.09069,0.05492,1.53216,3.46158,2.22396,0.000813624,0.000813624,0.000813624
3,42.57,1.17092,2.35988,1.43869,0.15525,0.07269,0.17409,0.07883,1.67769,3.33021,2.8127,0.00121391,0.00121391,0.00121391
4,56.0636,1.1672,2.13297,1.43794,0.2423,0.41667,0.27647,0.14384,1.55971,3.39255,2.24966,0.00121287,0.00121287,0.00121287
5,69.681,1.18007,2.01213,1.45031,0.19068,0.325,0.2594,0.15494,1.4489,3.37876,2.21045,0.0012005,0.0012005,0.0012005
6,83.0224,1.12063,1.91624,1.41094,0.30325,0.36153,0.26671,0.1793,1.6377,4.31413,2.19376,0.00118812,0.00118812,0.00118812
7,96.6468,1.09166,1.83381,1.39579,0.35718,0.22106,0.21855,0.11107,1.66866,3.90984,2.2223,0.00117575,0.00117575,0.00117575
8,110.212,1.02768,1.70672,1.32441,0.22251,0.46188,0.2909,0.13619,1.5784,2.92128,2.22839,0.00116337,0.00116337,0.00116337
9,123.6,1.03226,1.63377,1.35595,0.64314,0.425,0.3479,0.25291,1.40661,3.81314,1.78425,0.001151,0.001151,0.001151
10,136.696,0.99065,1.48736,1.30975,0.38241,0.45417,0.32443,0.16126,1.54151,3.38167,2.01229,0.00113863,0.00113863,0.00113863
11,149.366,1.01399,1.5347,1.32296,0.58471,0.45501,0.55961,0.27795,1.43728,3.0098,2.01722,0.00112625,0.00112625,0.00112625
12,162.914,0.97409,1.40865,1.29544,0.55019,0.41951,0.49794,0.32148,1.30955,2.31334,1.81341,0.00111388,0.00111388,0.00111388
13,177.127,0.95081,1.36732,1.29404,0.70929,0.42662,0.51815,0.29247,1.3244,2.71283,1.89404,0.0011015,0.0011015,0.0011015
14,190.712,0.96626,1.3304,1.2838,0.59036,0.54163,0.58987,0.35658,1.29466,2.04167,1.96007,0.00108913,0.00108913,0.00108913
15,203.587,0.89278,1.25736,1.2462,0.64574,0.59154,0.67823,0.44419,1.45229,1.93538,2.01093,0.00107675,0.00107675,0.00107675
16,216.499,0.88482,1.21206,1.23234,0.5305,0.36022,0.4241,0.31068,1.3918,2.44858,1.88884,0.00106437,0.00106437,0.00106437
17,229.41,0.87268,1.15725,1.20632,0.69526,0.38939,0.4703,0.31295,1.47052,1.99103,2.09419,0.001052,0.001052,0.001052
18,242.89,0.85819,1.15647,1.2118,0.55339,0.42092,0.40299,0.28881,1.29245,2.40709,1.89245,0.00103962,0.00103962,0.00103962
19,256.058,0.83279,1.09335,1.2011,0.85898,0.64148,0.68996,0.43449,1.36659,1.79407,1.91652,0.00102725,0.00102725,0.00102725
20,268.754,0.81892,1.07669,1.18138,0.61559,0.64646,0.65676,0.49395,1.20707,2.15823,1.77605,0.00101488,0.00101488,0.00101488
21,281.942,0.80789,1.03884,1.18889,0.71442,0.52976,0.65732,0.42949,1.15435,1.51508,1.8143,0.0010025,0.0010025,0.0010025
22,295.28,0.81638,1.02594,1.16879,0.56057,0.58601,0.59816,0.39499,1.4053,1.58525,2.14608,0.000990125,0.000990125,0.000990125
23,308.634,0.81019,1.0534,1.18693,0.60152,0.56479,0.57463,0.41485,1.3288,1.57595,1.95086,0.00097775,0.00097775,0.00097775
24,321.793,0.82025,1.00319,1.20474,0.58995,0.81373,0.68687,0.48299,1.41628,1.50219,2.05619,0.000965375,0.000965375,0.000965375
25,335.112,0.79994,0.96616,1.16629,0.7143,0.64254,0.67356,0.52259,1.24052,1.55738,1.8554,0.000953,0.000953,0.000953
26,348.198,0.77703,0.96991,1.15992,0.58588,0.57899,0.61694,0.48334,1.1843,1.91584,1.87972,0.000940625,0.000940625,0.000940625
27,361.523,0.77914,0.97976,1.16418,0.69465,0.64167,0.66641,0.50043,1.22864,1.68252,1.93652,0.00092825,0.00092825,0.00092825
28,374.816,0.74541,0.95,1.13561,0.7174,0.65083,0.7014,0.55663,1.12827,1.5759,1.83906,0.000915875,0.000915875,0.000915875
29,388.179,0.75595,0.94162,1.14168,0.59342,0.68944,0.64035,0.47526,1.3703,1.76572,1.9896,0.0009035,0.0009035,0.0009035
30,401.186,0.75628,0.88084,1.13083,0.75034,0.69928,0.72922,0.49123,1.30463,1.42367,2.0128,0.000891125,0.000891125,0.000891125
31,414.004,0.70735,0.82867,1.11315,0.76677,0.7913,0.74977,0.54854,1.27441,1.50859,1.89371,0.00087875,0.00087875,0.00087875
32,428.567,0.72988,0.84653,1.12033,0.66956,0.67237,0.65539,0.48976,1.35522,1.26904,1.99401,0.000866375,0.000866375,0.000866375
33,441.897,0.70545,0.84479,1.11463,0.68225,0.74635,0.74862,0.5577,1.26099,1.39128,1.94623,0.000854,0.000854,0.000854
34,455.094,0.68784,0.81326,1.09263,0.76516,0.83318,0.76736,0.55977,1.32957,1.35236,1.95737,0.000841625,0.000841625,0.000841625
